Record_ID,MunicipalityName,PRNAME,PRUID,CSDNAME,CSDUID,ERNAME,ERUID,CMANAME,CMAUID,FacilityType,MainCommodities,Additonal Information,Longitude,Latitude,Comments,Sourceofdataentry
2400067,St-Godefroi,Quebec / Québec,24,Saint-Godefroi,2405015,Gaspésie--Îles-de-la-Madeleine,2410,,,,,,-65.1142065,48.07448017,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
2400068,St-Ignace-de-Loyola,Quebec / Québec,24,Sainte-Anne-de-Sorel,2453065,Montérégie,2435,Sorel-Tracy,454,,,,-73.08466667,46.05138889,,Appendix B of 1995 National Marine Policy Report
2400069,St-Jean-sur-Richelieu,Quebec / Québec,24,Saint-Jean-sur-Richelieu,2456083,Montérégie,2435,Montréal,462,,,,-73.24935344,45.30209353,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
2400070,St-Joseph-de-la-Rive,Quebec / Québec,24,Rivière-Ouelle,2414065,Bas-Saint-Laurent,2415,,,,,,-70.01711111,47.44830556,,Appendix B of 1995 National Marine Policy Report
2400071,St-Juste-du-Lac,Quebec / Québec,24,Saint-Juste-du-Lac,2413040,Bas-Saint-Laurent,2415,,,,,,-68.79106513,47.63722993,,Appendix B of 1995 National Marine Policy Report
2400072,St-Simeon ,Quebec / Québec,24,Saint-Cyprien,2412005,Bas-Saint-Laurent,2415,,,,,,-69.03366667,47.84044444,,Appendix B of 1995 National Marine Policy Report
2400073,Tadoussac,Quebec / Québec,24,Saint-Mathieu-de-Rioux,2411050,Bas-Saint-Laurent,2415,,,,,,-69.03469444,48.13863889,,Appendix B of 1995 National Marine Policy Report
2400074,Thurso,Ontario,35,Alfred and Plantagenet,3502023,Ottawa,3510,,,,,,-75.06725,45.58766667,,Appendix B of 1995 National Marine Policy Report
2400075,Trois-Pistoles,Quebec / Québec,24,Saint-Mathieu-de-Rioux,2411050,Bas-Saint-Laurent,2415,,,,,,-69.01775,48.13475,,Appendix B of 1995 National Marine Policy Report
2400076,Valleyfield,Quebec / Québec,24,Salaberry-de-Valleyfield,2470052,Montérégie,2435,Salaberry-de-Valleyfield,465,Commercial,"Liquid bulk, dry bulk, sulphuric acid, asphalt, cement",https://www.portvalleyfield.com/en,-74.09313889,45.2235,,Internal Transport Canada Research
